template_date,template_slot,interval_start,interval_end,soc_before,soc_after,price,pv_forecast_source,issue_datetime,load_actual_kwh,pv_actual_kwh,planned_purchase_cost,downward_adjustment_penalty,upward_adjustment_cost,emergency_purchase_cost,total_cost,grid_plan_kwh,grid_final_kwh,charge_bus_kwh,discharge_bus_kwh,grid_emergency_kwh,spill_kwh,adjust_down_kwh,adjust_up_kwh
2025-01-01,1,2025-01-01 00:10:00,2025-01-01 00:20:00,6000.0,6000.0,0.4248,attachment3,2025-01-01 00:00:00,588.2883,0.0,0.0,0.0,0.0,1249.5243492000002,1249.5243492000002,0.0,0.0,0.0,0.0,588.2883,0.0,0.0,0.0
2025-01-01,2,2025-01-01 00:20:00,2025-01-01 00:30:00,6000.0,6000.0,0.4245,attachment3,2025-01-01 00:00:00,601.5881,0.0,0.0,0.0,0.0,1276.8707422500001,1276.8707422500001,0.0,0.0,0.0,0.0,601.5881,0.0,0.0,0.0
2025-01-01,3,2025-01-01 00:30:00,2025-01-01 00:40:00,6000.0,6000.0,0.4269,attachment3,2025-01-01 00:00:00,621.0933,0.0,0.0,0.0,0.0,1325.72364885,1325.72364885,0.0,0.0,0.0,0.0,621.0933,0.0,0.0,0.0
2025-01-01,4,2025-01-01 00:40:00,2025-01-01 00:50:00,6000.0,6000.0,0.4272,attachment3,2025-01-01 00:00:00,585.1052,0.0,0.0,0.0,0.0,1249.7847072,1249.7847072,0.0,0.0,0.0,0.0,585.1052,0.0,0.0,0.0
2025-01-01,5,2025-01-01 00:50:00,2025-01-01 01:00:00,6000.0,6000.0,0.4271,attachment3,2025-01-01 00:00:00,583.7604,0.0,0.0,0.0,0.0,1246.6203342,1246.6203342,0.0,0.0,0.0,0.0,583.7604,0.0,0.0,0.0
2025-01-01,6,2025-01-01 01:00:00,2025-01-01 01:10:00,6000.0,6000.0,0.4285,attachment3,2025-01-01 00:00:00,631.1683,0.0,0.0,0.0,0.0,1352.27808275,1352.27808275,0.0,0.0,0.0,0.0,631.1683,0.0,0.0,0.0
2025-01-01,7,2025-01-01 01:10:00,2025-01-01 01:20:00,6000.0,6000.0,0.4311,attachment3,2025-01-01 00:00:00,650.0534,0.0,0.0,0.0,0.0,1401.1901037,1401.1901037,0.0,0.0,0.0,0.0,650.0534,0.0,0.0,0.0
2025-01-01,8,2025-01-01 01:20:00,2025-01-01 01:30:00,6000.0,6000.0,0.4302,attachment3,2025-01-01 00:00:00,652.8063,0.0,0.0,0.0,0.0,1404.1863513,1404.1863513,0.0,0.0,0.0,0.0,652.8063,0.0,0.0,0.0
2025-01-01,9,2025-01-01 01:30:00,2025-01-01 01:40:00,6000.0,6000.0,0.4279,attachment3,2025-01-01 00:00:00,636.2133,0.0,0.0,0.0,0.0,1361.17835535,1361.17835535,0.0,0.0,0.0,0.0,636.2133,0.0,0.0,0.0
2025-01-01,10,2025-01-01 01:40:00,2025-01-01 01:50:00,6000.0,6000.0,0.4312,attachment3,2025-01-01 00:00:00,588.8356,0.0,0.0,0.0,0.0,1269.5295536,1269.5295536,0.0,0.0,0.0,0.0,588.8356,0.0,0.0,0.0
