template_date,total_cost,planned_purchase_cost,downward_penalty,upward_adjustment_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2025-02-01,41139.829610274595,26108.58392324126,0.0,0.0,15031.245687033334,3048.4012933333333,12909.084613333333,47871.88588786008,47871.88588786008,19121.189304526746,15488.163336666667,0.0,0.0,0.0,1200.0000000000286,10800.00000000003
2025-02-02,67447.71711624408,59641.46926480574,0.0,0.0,7806.247851438339,1554.3526433333345,12970.817689999998,94493.97041411522,94493.97041411522,24848.56667078189,20127.33900333333,0.0,0.0,0.0,1200.000000000031,10800.000000000035
2025-02-03,68736.46155419946,60365.90826110612,0.0,0.0,8370.553293093339,1780.4514033333346,12407.677869999994,95691.30617790124,95691.30617790124,25511.386901234568,20664.22339,0.0,0.0,0.0,1200.0000000000357,10800.00000000004
2025-02-04,71552.20039631095,62836.02437389429,0.0,0.0,8716.176022416665,1935.5981799999993,14528.83450666666,98746.38757609054,98746.38757609054,26096.251312757202,21137.963563333335,0.0,0.0,0.0,1200.0000000000398,10800.00000000004
2025-02-05,70254.98620118925,58112.85871120091,0.0,0.0,12142.127489988345,2668.3668300000027,9566.673513333331,92473.97639246914,92473.97639246914,25406.5384691358,20579.296159999998,0.0,0.0,0.0,1200.0000000000396,10800.00000000004
2025-02-06,70927.98757171659,62638.237510666586,1.2153122952440753e-14,0.0,8289.750061050001,1689.7898466666672,15164.277763333328,98641.32091296295,98641.32091296295,25767.236296296294,20871.4614,5.684341886080802e-14,0.0,0.0,1200.0000000000396,10800.00000000004
2025-02-07,34742.57179776197,25627.8638082303,0.0,0.0,9114.707989531667,1850.9769600000002,13939.829596666668,47665.56029526749,47665.56029526749,19847.515045267486,16076.487186666667,0.0,0.0,0.0,1200.0000000000427,10800.000000000044
2025-02-08,35724.22586474957,20392.696161686235,0.0,0.0,15331.52970306333,3466.910766666666,6397.876216666661,37709.71950386831,37709.71950386831,16850.479757201647,13648.888603333333,0.0,0.0,0.0,1200.0000000000455,10800.000000000044
2025-02-09,64608.805315094134,56939.20524637247,0.0,0.0,7669.600068721666,1797.3323066666667,7706.585803333329,90191.08146798355,90191.08146798355,24875.85142798354,20149.439656666666,0.0,0.0,0.0,1200.0000000000455,10800.000000000051
2025-02-10,64023.87437841133,54440.37903621133,0.0,0.0,9583.4953422,2070.98291,10022.111066666663,86996.09869,86996.09869,24833.333333333332,20115.0,0.0,0.0,0.0,1200.0000000000525,10800.000000000055
2025-02-11,74504.33781439635,54385.29169958634,0.0,0.0,20119.04611481,4283.5936599999995,11219.511559999995,86966.38163768231,86966.38163768231,25315.08756674897,20505.220929066665,0.0,0.0,0.0,1200.000000000055,10800.00000000006
2025-02-12,65169.37613945568,54905.597750110675,0.0,0.0,10263.778389345003,2145.943773333334,9557.760553333328,87449.06869349793,87449.06869349793,25107.976386831273,20337.460873333333,0.0,0.0,0.0,1200.0000000000614,10800.000000000062
2025-02-13,64001.1219471271,50799.86159473544,0.0,0.0,13201.260352391668,2834.2394900000004,9365.95781333333,82354.30936263374,82354.30936263374,23647.956522633744,19154.844783333334,0.0,0.0,0.0,1200.0000000000632,10800.000000000064
2025-02-14,30440.94608817351,20277.585308888512,1.2153122952440753e-14,0.0,10163.360779284996,2371.5426566666656,6900.610749999999,37424.99892477366,37424.99892477366,16284.891218106995,13190.761886666667,5.684341886080802e-14,0.0,0.0,1200.0000000000643,10800.000000000064
