month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1374653.8967667404,1313865.4819678715,1263478.129835819,50387.35213205272,25193.67606602636,16263.946310666419,1304935.7522125116,69718.14455422881,16530.95525976671,171343.3103505889,2035651.004018349,1987021.8311111424,622788.4169490534,504458.61772873334,1127247.0346777868,63005.09156504316,14375.91865783647,877.0,1200.0,10800.0
3,1221884.390385453,1151973.091459438,1098978.4302459217,52994.66121351625,26497.330606758125,29024.93299238347,1154500.6938450632,67383.69654038954,17773.023298333424,249782.44281131262,1930448.648654185,1881197.4193828008,646685.9603674829,523815.6278976611,1170501.588265144,78682.47612098456,29431.246849600477,834.0,1200.0,10800.0
4,1018080.7093662858,932237.2405870956,904550.4050834277,27686.835503667964,13843.417751833982,36876.82532598183,955270.6481612435,62810.06120504233,16503.70278388886,320808.8435944444,1635277.1965313149,1630092.1757881704,568723.3214611317,460665.8903835167,1029389.2118446484,45943.47807008459,40758.4573269403,697.0,1200.0,10800.0
5,1081609.9014709927,940707.4469073182,924589.6235581095,16117.82334920874,8058.91167460437,55607.636909591936,988256.1721423059,93353.729328687,22717.777794444457,385055.9076922222,1616656.0981530088,1653162.0093628902,547438.9808690123,443425.5745039,990864.5553729123,27500.329165027357,64006.24037490856,698.0,1200.0,10800.0
6,1596537.0570455631,1443456.4556696436,1405922.4573768051,37533.99829283848,18766.99914641924,56534.31851971165,1481223.775042936,115313.28200262731,29500.76507944447,349871.23482002,2193042.006503919,2191026.1873311107,635066.0299501851,514403.48425965,1149469.514209835,51048.28868664649,49032.46951383799,928.0,1200.0,10800.0
7,1967167.5679384342,1718307.7724696489,1680298.3377326417,38009.434737007185,19004.717368503592,62969.68585771446,1762272.7409588597,204894.8269795745,48872.19159888892,397207.8240939198,2407732.9886038667,2410479.260017197,617496.6264324554,500172.26741028886,1117668.8938427442,52645.11544022318,55391.386853554024,968.0,1200.0,10800.0
8,1538161.7084393583,1436195.6968316964,1396355.2449761159,39840.45185558058,19920.22592779029,40383.163786115416,1456658.6346900214,81503.07374933678,18734.046794444534,393027.3920796501,2086303.13949847,2067655.4098771133,574995.7610100412,465746.5664181334,1040742.3274281746,60606.53089598122,41958.80127462456,835.0,1200.0,10800.0
9,1262069.2904351961,1177817.083154331,1139714.9247741147,38102.158380216264,19051.079190108132,42463.9695343912,1201229.973498614,60839.316936582116,16197.235293888938,397680.73567333334,1899088.2559965663,1884406.976839669,602840.0287380246,488300.42327780003,1091140.4520158246,61838.439143856376,47157.159986959065,810.0,1200.0,10800.0
10,1236197.012665922,1168483.4144035468,1115088.2943018354,53395.12010171149,26697.560050855744,27867.882406038756,1169653.73675873,66543.27590719234,17120.10932722218,297390.98097111104,1934940.1497696762,1878949.3534085026,650236.2556032304,526691.3670386167,1176927.622641847,83164.98323816538,27174.186876991906,881.0,1200.0,10800.0
11,1432907.973998136,1335937.2228015498,1314600.7776508809,21336.445150668842,10668.222575334421,58205.1817778094,1383474.1820040247,49433.79199411112,12815.762423333395,208374.1641574222,2089363.3830205034,2108923.0476718307,659959.1507249587,534566.9120872166,1194526.0628121754,30750.909912869552,50310.57456419699,1008.0,1200.0,10800.0
12,2054714.7767052688,1910385.7935351678,1879640.2034447766,30745.590090391164,15372.795045195582,54023.9998026964,1949036.9982926687,105677.77841260008,25449.644983888902,217641.16216888884,2688453.7931249314,2696091.088646197,736119.1340063032,596256.4985451056,1332375.6325514086,33951.56470787123,41588.86022913742,1016.0,1200.0,10800.0
