month,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-02,0,1372335.9524179096,1290677.5480943175,81658.40432359179,2008474.7110819055,20938.820240000034,196135.15641769537,628414.2005484774,509015.50244426663,1137429.702992744,1199.9999999999993,10800.0,1210.0,28.0
2025-03,0,1267462.0324078677,1125441.9867645695,142020.04564329845,1889188.857811307,35835.33563666671,275422.1101499998,648865.3468314403,525580.9309334666,1174446.2777649069,1200.0,10800.0,1413.0,31.0
2025-04,0,1067553.5010692775,933344.1947267675,134209.30634251013,1641510.1440250166,35926.09595000004,348857.0605933332,583418.8183246502,472569.2428429666,1055988.0611676169,1199.9999999999995,10800.000000000002,1460.0,30.0
2025-05,0,1120908.0905892635,957796.5586732664,163111.53191599683,1651104.5822486994,41523.62693666672,400997.90192666656,551683.3376773661,446863.5035186666,998546.8411960329,1199.9999999999982,10800.0,1644.0,31.0
2025-06,0,1650744.7234827091,1420888.725650189,229855.9978325202,2159834.266598405,55739.73952333337,347150.0178309464,623320.086267325,504889.26987653336,1128209.3561438583,1199.9999999999882,10800.000000000002,1795.0,30.0
2025-07,0,1991746.073239041,1718174.1275939073,273571.94564513356,2408907.4549929956,63849.518716666695,410712.6567086419,616973.9394790533,499748.8909780334,1116722.8304570867,1199.9999999999955,10800.0,2120.0,31.0
2025-08,0,1581718.2433691605,1416253.8275547933,165464.4158143668,2055335.2628635804,38150.138363333375,399826.4012966664,576558.5785802469,467012.4486499999,1043571.027230247,1199.999999999999,10800.0,2114.0,31.0
2025-09,0,1285004.8269362343,1158126.3951140244,126878.43182221016,1872445.2684417279,32647.737813333366,401980.905409794,603832.7886593002,489104.55881403334,1092937.3474733336,1199.9999999999973,10800.0,1579.0,30.0
2025-10,0,1217188.8994958198,1145372.9700970664,71815.9293987535,1898527.73256983,19593.817533333375,318626.81021666643,654532.3509815637,530171.2042950667,1184703.5552766307,1199.9999999999993,10800.0,1450.0,31.0
2025-11,0,1414917.023637516,1334273.6379974005,80643.38564011516,2076867.944582297,20553.617780000037,184911.072138683,655463.5943348148,530925.5114111999,1186389.105746015,1199.9999999999995,10800.0,1263.0,30.0
2025-12,0,2054386.5573738886,1908365.9513328525,146020.60604103692,2686162.6546947733,33984.96927000006,215944.9745966664,737714.2808847738,597548.5675166667,1335262.84840144,1200.0,10800.0,1638.0,31.0
