metric,value
realized_total_cost,16023965.924018687
regular_purchase_cost,14408715.923599154
emergency_purchase_cost,1615250.0004195352
grid_purchase_energy,22348358.879910536
emergency_energy,398743.41776333377
spill_energy,3500565.067285756
charge,6880777.322569007
discharge,5573429.631280897
storage_throughput,12454206.953849917
soc_min,1199.9999999999882
soc_max,10800.000000000002
soc_boundary_hits,17686.0
days,334.0
price_sample_count,48096.0
price_MAE,0.07066824862115251
price_RMSE,0.09263253454226235
price_bias,-5.8024877218978445e-05
price_P90_absolute_error,0.1536922789153366
price_rank_correlation,0.9559923956787905
price_peak10_recall,0.814968814968815
price_offpeak10_recall,0.6911581569115816
price_negative_prediction_count,0.0
price_nonfinite_prediction_count,0.0
solver_days,334
optimal_count,334
infeasible_count,0
failure_count,0
reference_only_count,0
runtime_seconds,8.605938099994091
level_bound_hit_count,0
