metric,value
realized_total_cost,16073741.15234774
regular_purchase_cost,14458632.635909189
emergency_purchase_cost,1615108.5164385517
grid_purchase_energy,22403560.669152264
emergency_energy,398742.66998333373
spill_energy,3500564.3195057595
charge,7171313.055420205
discharge,5808763.574890367
storage_throughput,12980076.63031057
soc_min,1199.9999999999952
soc_max,10800.0
soc_boundary_hits,16002.0
days,334.0
price_sample_count,48096.0
price_MAE,0.04715118305056554
price_RMSE,0.06534801504178886
price_bias,-0.00015473843978709224
price_P90_absolute_error,0.0976
price_rank_correlation,0.9719055035323327
price_peak10_recall,0.8671517671517671
price_offpeak10_recall,0.7557077625570776
price_negative_prediction_count,0.0
price_nonfinite_prediction_count,0.0
solver_days,334
optimal_count,334
infeasible_count,0
failure_count,0
reference_only_count,0
runtime_seconds,10.272521100006998
level_bound_hit_count,0
