template_date,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-02-01,0,21221.982728314008,20701.575522030675,520.4072062833343,48724.69221658436,112.74759666666682,10489.865583333329,20891.566473251027,16922.168843333333,37813.73531658435,1200.0,10800.0,41.0,1.0
2025-02-02,0,66909.38279004743,66705.4942669241,203.8885231233342,94520.20031946502,58.35619333333352,11455.202389999991,25089.87590946502,20322.799486666667,45412.675396131686,1200.0,10800.0,46.0,1.0
2025-02-03,0,65960.60707038356,65076.048987855225,884.5580825283375,91404.48994353908,203.39253333333392,6766.45899999999,24339.511983539094,19715.004706666667,44054.51669020576,1200.0,10800.0,43.0,1.0
2025-02-04,0,69098.58581690837,66389.68689845502,2708.8989184533402,93039.03231341564,592.1835466666682,7957.390173333325,23573.48519341564,19094.523006666666,42668.0082000823,1200.0,10800.0,54.0,1.0
2025-02-05,0,68235.32279182048,67593.02052954714,642.3022622733422,93938.00093827158,149.7568133333353,8681.228296666657,24516.32660493827,19858.22455,44374.55115493827,1200.0,10800.0,44.0,1.0
2025-02-06,0,67529.14714989786,66969.41467476953,559.7324751283335,93594.98096860081,136.0702600000003,8814.581026666656,24449.537378600824,19804.125276666666,44253.662655267486,1200.0,10800.0,48.0,1.0
2025-02-07,0,20156.13116093357,19212.482968790235,943.6481921433366,45927.26006876543,195.04838333333413,10402.426536666662,20601.0637654321,16686.86165,37287.925415432095,1200.0,10800.0,41.0,1.0
2025-02-08,0,22167.821203671727,16802.56118617506,5365.260017496669,40051.10649617284,1573.4701533333339,6095.17982666666,20801.231172839507,16848.99725,37650.228422839515,1200.0,10800.0,40.0,1.0
2025-02-09,0,69084.26987806549,60213.94719577382,8870.322682291675,86098.72881749998,1969.358603333335,3950.577499999992,24011.01958333333,19448.925862500004,43459.945445833335,1200.0,10800.0,41.0,1.0
2025-02-10,0,61983.08262686119,61110.30535673452,872.7772701266737,89137.95944144033,250.00255333333502,10571.244309999991,23632.002551440324,19141.922066666666,42773.92461810699,1200.0,10800.0,44.0,1.0
2025-02-11,0,60401.25586723134,56648.790373052994,3752.4654941783424,82683.7854,697.9750566666686,3917.8300233333243,22333.333333333332,18090.0,40423.33333333333,1200.0,10800.0,46.0,1.0
2025-02-12,0,59948.00545479548,57471.69047015381,2476.3149846416713,84161.32202497941,505.04298333333423,5034.714679999993,22973.23120164609,18608.317273333334,41581.54847497943,1200.0,10800.0,42.0,1.0
2025-02-13,0,59039.18755615059,57420.08552771059,1619.1020284400033,84622.23011876541,392.1724900000009,9138.829263333326,23926.810765432096,19380.716720000004,43307.527485432096,1200.0,10800.0,42.0,1.0
2025-02-14,0,19870.95972326592,15390.484456227578,4480.475267038344,36872.329209135794,1838.425126666672,5355.8104366666685,18700.7494691358,15147.60707,33848.3565391358,1199.999999999999,10800.0,48.0,1.0
2025-02-15,0,18348.378012658162,16112.778304581492,2235.59970807667,37357.327826172834,714.9960700000013,5106.789986666667,19397.06583950617,15711.623329999999,35108.689169506164,1200.0,10800.0,33.0,1.0
2025-02-16,0,60318.97050097733,56705.97953219898,3612.9909687783497,83271.83980720163,780.1473766666707,4135.7461199999925,23888.748757201643,19349.886493333328,43238.63525053497,1200.0,10800.0,53.0,1.0
2025-02-17,0,58530.881352664306,56929.82558406096,1601.0557686033399,84113.513921893,376.77980000000156,8648.549153333326,24515.168781893004,19857.286713333335,44372.455495226335,1200.0,10800.0,42.0,1.0
2025-02-18,0,57287.439160400165,52952.13546013183,4335.303700268334,80046.47507707572,945.3447466666673,4341.508846666658,23994.331984609053,19435.408907533332,43429.74089214238,1200.0,10800.0,33.0,1.0
2025-02-19,0,58717.415238529524,53561.067900166185,5156.347338363341,80505.30085271603,1242.9957066666689,4466.322243333327,23171.822716049384,18769.176399999997,41940.99911604938,1200.0,10800.0,42.0,1.0
2025-02-20,0,58281.481380727724,54557.44170906105,3724.039671666672,80461.21172146665,886.0689633333349,5940.528379999994,23229.567919999998,18815.950015200004,42045.5179352,1200.0,10800.0,44.0,1.0
2025-02-21,0,17294.900437429,15445.139098705667,1849.7613387233357,36088.623072880655,673.866310000001,7697.532806666667,18445.757769547323,14941.063793333333,33386.82156288065,1200.0,10800.0,50.0,1.0
2025-02-22,0,18435.347606860498,15516.062098648837,2919.28550821166,36158.890394403286,953.0664999999976,5668.420821522628,18940.91143621399,15342.138263333334,34283.04969954732,1199.9999999999995,10800.0,44.0,1.0
2025-02-23,0,56704.789723113405,55145.5537276134,1559.235995500006,82106.37338530863,441.09050333333477,6442.22103999999,24070.471308641972,19497.08176,43567.55306864197,1200.0,10800.0,41.0,1.0
2025-02-24,0,55342.66454436797,52719.97758272797,2622.6869616400104,79538.06947096666,562.820756666669,7621.309383333327,22508.14497,18231.597425699998,40739.7423957,1200.0,10800.0,43.0,1.0
2025-02-25,0,51796.141010319385,50153.65587939772,1642.4851309216706,77241.95339460904,424.30888000000107,7436.945703333327,23199.95616460905,18791.964493333333,41991.920657942384,1200.0,10800.0,42.0,1.0
