period,baseline,template_date,template_slot,interval_start,interval_end,decision_time,level_bound_hit_count,load_actual_kwh,pv_actual_kwh,price_actual,price_pred,grid_plan_kwh,grid_emergency_kwh,charge_bus_kwh,discharge_bus_kwh,spill_kwh,soc_before_kwh,soc_after_kwh,regular_purchase_cost,emergency_purchase_cost,realized_total_cost
formal_output,Q4_2_PRICE_BASELINE_P0,2025-02-01,1,2025-02-01 00:10:00,2025-02-01 00:20:00,2025-02-01 00:00:00,0,422.0304,0.0,0.3281,0.3606,1302.8465933333334,0.0,833.3333333333336,0.0,47.482859999999846,1200.0,1950.0000000000002,427.4639672726667,0.0,427.4639672726667
formal_output,Q4_2_PRICE_BASELINE_P0,2025-02-01,2,2025-02-01 00:20:00,2025-02-01 00:30:00,2025-02-01 00:00:00,0,415.4073,0.0,0.3257,0.387,461.7750966666666,0.0,0.0,0.0,46.36779666666661,1950.0000000000002,1950.0000000000002,150.40014898433333,0.0,150.40014898433333
formal_output,Q4_2_PRICE_BASELINE_P0,2025-02-01,3,2025-02-01 00:30:00,2025-02-01 00:40:00,2025-02-01 00:00:00,0,410.7167,0.0,0.3041,0.3913,457.755,0.0,0.0,0.0,47.03829999999999,1950.0000000000002,1950.0000000000002,139.2032955,0.0,139.2032955
formal_output,Q4_2_PRICE_BASELINE_P0,2025-02-01,4,2025-02-01 00:40:00,2025-02-01 00:50:00,2025-02-01 00:00:00,0,430.2948,0.0,0.3126,0.3779,1161.6094499999997,0.0,666.6666666666664,0.0,64.64798333333329,1950.0000000000002,2550.0,363.1191140699999,0.0,363.1191140699999
formal_output,Q4_2_PRICE_BASELINE_P0,2025-02-01,5,2025-02-01 00:50:00,2025-02-01 01:00:00,2025-02-01 00:00:00,0,424.4106,0.0,0.3286,0.3812,511.57258666666667,0.0,0.0,0.0,87.16198666666668,2550.0,2550.0,168.10275197866667,0.0,168.10275197866667
formal_output,Q4_2_PRICE_BASELINE_P0,2025-02-01,6,2025-02-01 01:00:00,2025-02-01 01:10:00,2025-02-01 00:00:00,0,406.0517,0.0,0.3438,0.3882,504.6783333333333,0.0,0.0,0.0,98.6266333333333,2550.0,2550.0,173.50841099999997,0.0,173.50841099999997
formal_output,Q4_2_PRICE_BASELINE_P0,2025-02-01,7,2025-02-01 01:10:00,2025-02-01 01:20:00,2025-02-01 00:00:00,0,436.7502,0.0,0.3704,0.3564,1346.4855866666667,0.0,833.3333333333333,0.0,76.40205333333347,2550.0,3300.0,498.73826130133335,0.0,498.73826130133335
formal_output,Q4_2_PRICE_BASELINE_P0,2025-02-01,8,2025-02-01 01:20:00,2025-02-01 01:30:00,2025-02-01 00:00:00,0,451.7977,0.0,0.3746,0.3434,1339.6870166666665,0.0,833.3333333333333,0.0,54.55598333333319,3300.0,4050.0,501.8467564433333,0.0,501.8467564433333
formal_output,Q4_2_PRICE_BASELINE_P0,2025-02-01,9,2025-02-01 01:30:00,2025-02-01 01:40:00,2025-02-01 00:00:00,0,446.08,0.0,0.3606,0.3637,1330.991,0.0,833.3333333333333,0.0,51.5776666666668,4050.0,4800.0,479.95535459999996,0.0,479.95535459999996
formal_output,Q4_2_PRICE_BASELINE_P0,2025-02-01,10,2025-02-01 01:40:00,2025-02-01 01:50:00,2025-02-01 00:00:00,0,471.7663,0.0,0.3582,0.3726,1357.9259666666667,0.0,833.3333333333333,0.0,52.82633333333342,4800.0,5550.0,486.40908126000005,0.0,486.40908126000005
