template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_status,termination_condition,mip_gap,runtime_seconds,adjustment_objective
2025-01-01,2025-01-01T00:00:00,initial_0000,1,144,COLD_START_NO_SOLVE,INITIAL_PLAN,,0.0,0.0
2025-01-01,2025-01-01T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.0015678000054322183,0.0
2025-01-01,2025-01-01T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.0007080000068526715,0.0
2025-01-01,2025-01-01T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.00044329999946057796,0.0
2025-01-01,2025-01-02T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.000202000024728477,0.0
2025-01-02,2025-01-02T00:00:00,initial_0000,1,144,OPTIMAL_CLOSED_FORM,INITIAL_PLAN,,0.0,0.0
2025-01-02,2025-01-02T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.00283880002098158,459.2759186224988
2025-01-02,2025-01-02T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.004348699992988259,1136.1601136699987
2025-01-02,2025-01-02T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.0004385999927762896,0.0
2025-01-02,2025-01-03T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00021070000366307795,0.0
2025-01-03,2025-01-03T00:00:00,initial_0000,1,144,OPTIMAL_CLOSED_FORM,INITIAL_PLAN,,0.0,0.0
2025-01-03,2025-01-03T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.0025316000101156533,1360.2162244474985
2025-01-03,2025-01-03T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.00319139999919571,900.3610613699989
2025-01-03,2025-01-03T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.00042699999175965786,0.0
2025-01-03,2025-01-04T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00020969999604858458,0.0
2025-01-04,2025-01-04T00:00:00,initial_0000,1,144,OPTIMAL_CLOSED_FORM,INITIAL_PLAN,,0.0,0.0
2025-01-04,2025-01-04T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.002999799995450303,1474.3429092725007
2025-01-04,2025-01-04T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.0027682000072672963,0.0
2025-01-04,2025-01-04T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.0004290000069886446,0.0
2025-01-04,2025-01-05T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002445999998599291,0.0
2025-01-05,2025-01-05T00:00:00,initial_0000,1,144,OPTIMAL_CLOSED_FORM,INITIAL_PLAN,,0.0,0.0
2025-01-05,2025-01-05T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.0008871000027284026,1029.801239835
2025-01-05,2025-01-05T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.009536500001559034,648.1456111750008
2025-01-05,2025-01-05T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.0004321000014897436,0.0
2025-01-05,2025-01-06T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00021739999647252262,0.0
2025-01-06,2025-01-06T00:00:00,initial_0000,1,144,OPTIMAL_CLOSED_FORM,INITIAL_PLAN,,0.0,0.0
2025-01-06,2025-01-06T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.002827199990861118,970.7732471024998
2025-01-06,2025-01-06T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.002649700007168576,440.76238129500035
2025-01-06,2025-01-06T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.0004167000006418675,0.0
2025-01-06,2025-01-07T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002060999977402389,0.0
2025-01-07,2025-01-07T00:00:00,initial_0000,1,144,OPTIMAL_CLOSED_FORM,INITIAL_PLAN,,0.0,0.0
2025-01-07,2025-01-07T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.004461400007130578,4571.054370197499
2025-01-07,2025-01-07T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.0006502999749500304,3428.5871049025022
2025-01-07,2025-01-07T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.0004215999797452241,0.0
