template_date,total_cost,planned_purchase_cost,downward_penalty,upward_adjustment_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2025-02-01,45385.77969460433,38066.26038342267,0.0,6.4586886000000945,7313.060622581666,1478.68762,18697.421966666665,51592.03894666667,51596.91094666666,0.0,0.0,0.0,4.872000000000071,6.0,6000.0,6000.0
2025-02-02,78385.63501103467,70820.528486943,0.0,1200.44391822,6364.662605871672,1277.549570000001,13528.170616666665,89772.74274666667,90606.89874666666,0.0,0.0,0.0,834.1559999999998,30.0,6000.0,6000.0
2025-02-03,79941.13190119933,71570.57860810599,0.0,0.0,8370.553293093339,1780.4514033333344,12407.677869999994,90844.14266666667,90844.14266666667,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0
2025-02-04,82522.85515367165,74228.721978395,0.0,837.9150626450001,7456.218112631662,1681.6304166666655,14854.701543333327,93788.09982666666,94367.93462666667,0.0,0.0,0.0,579.8348000000001,12.0,6000.0,6000.0
2025-02-05,79788.656948145,69367.61539303666,0.0,1950.7927617350003,8470.248793373341,1801.735176666668,10507.235059999997,87646.73408333333,89453.92728333332,0.0,0.0,0.0,1807.1932000000004,36.0,6000.0,6000.0
2025-02-06,82193.12026331267,73939.92554694433,0.0,241.97325574500078,8011.221460623334,1632.2325833333334,15276.938399999995,93745.54601666666,93915.76391666666,0.0,0.0,0.0,170.21790000000055,6.0,6000.0,6000.0
2025-02-07,43668.13419571167,37540.072761505,0.0,0.0,6128.061434206668,1245.2487000000006,19940.37181333333,50500.80291333333,50500.80291333333,0.0,0.0,0.0,0.0,0.0,6000.0,6000.0
2025-02-08,42582.3061690025,33173.51002216167,0.0,566.3771159575007,8842.419030883335,1904.495236666667,15991.261069999999,45174.79501666666,45663.928733333334,0.0,0.0,0.0,489.13371666666717,14.0,6000.0,6000.0
2025-02-09,77316.15707747066,68184.983885364,0.0,1774.8207489600013,7356.352443146667,1667.4756566666667,9312.357353333331,85464.66969666666,87200.29789666667,0.0,0.0,0.0,1735.628200000001,36.0,6000.0,6000.0
2025-02-10,75081.44734132983,65400.514727079,0.0,175.87444369249974,9505.058170558332,2052.53891,10158.59493333333,82290.26662333333,82432.69322333334,0.0,0.0,0.0,142.42659999999978,24.0,6000.0,6000.0
