month,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-02,0,1371019.1755758438,1289517.2588726704,81501.91670317337,2009115.1771589592,20859.15191,196055.48808769538,631785.0746382304,511745.91045696667,1143530.985095197,1199.9999999999955,10800.0,1308.0,28.0
2025-03,0,1266528.9443164892,1124325.2313465874,142203.71296990168,1886664.9751642398,35948.093713333335,275534.86822666664,635581.7539521399,514821.22070123337,1150402.9746533732,1199.9999999999995,10800.0,1540.0,31.0
2025-04,0,1065999.6952023113,931790.3888598012,134209.30634251004,1639885.1457757724,35926.09595000001,348857.06059333327,574866.1959602057,465641.6187277667,1040507.8146879723,1199.999999999999,10800.0,1488.0,30.0
2025-05,0,1118576.285423456,955512.9759106177,163063.30951283837,1650502.3454519024,41484.01921333334,400958.2942033333,548513.6703258024,444296.0729639,992809.7432897025,1199.9999999999955,10800.0,1604.0,31.0
2025-06,0,1655891.1076315022,1426035.109798982,229855.99783252008,2159981.415912565,55739.739523333345,347150.0178309465,624094.5563418518,505516.5906369,1129611.1469787518,1199.9999999999993,10800.0,1486.0,30.0
2025-07,0,1999211.9719440427,1725816.9025273677,273395.069416675,2410209.772995163,63786.72888666668,410649.86687864194,623828.2447536214,505300.8782504333,1129129.1230040547,1199.9999999999968,10800.0,1580.0,31.0
2025-08,0,1588035.4320015013,1422543.9207092596,165491.5112922417,2056212.7341520472,38167.704313333335,399843.9672466666,581176.8485195474,470753.2473008333,1051930.0958203806,1199.999999999999,10800.000000000002,1641.0,31.0
2025-09,0,1284439.3027274148,1157598.464842538,126840.83788487672,1871215.3844754768,32635.272980000012,401968.44057646085,597359.715152716,483861.3692737,1081221.0844264159,1199.9999999999952,10800.0,1570.0,30.0
2025-10,0,1214883.1598985046,1143067.2304997512,71815.9293987534,1896194.628278507,19593.817533333353,318626.8102166666,642252.8547114403,520224.81231626665,1162477.667027707,1199.9999999999995,10800.0,1598.0,31.0
2025-11,0,1414518.833260374,1333875.4476202587,80643.38564011507,2079287.7870588736,20553.617780000015,184873.10526074973,668399.4330427572,541403.5407646333,1209802.9738073905,1200.0,10800.0,1374.0,30.0
2025-12,0,2055799.8221685404,1909779.2161275037,146020.60604103678,2689385.224100494,33984.96927000002,215944.97459666658,754675.1724938271,611286.88972,1365962.0622138272,1200.0,10800.0,1426.0,31.0
