template_date,template_slot,interval_start,interval_end,issue_datetime,decision_time,plan_version,G_initial,Q_version,C_version,D_version,soc_before_planned,soc_after_planned,pv_forecast,pv_forecast_source,forecast_kwh,forecast_version,lead_hour,target_time,mapping_method,interpolation_left_lead,interpolation_right_lead,endpoint_hold,fallback_reason,solver_status
2025-01-01,1,2025-01-01 00:10:00,2025-01-01 00:20:00,,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,fallback_q2_pv,0.0,weekday-load_recent-pv_buffer-1-v1.0,,,Q2_FALLBACK,,,False,no_causally_available_allowed_issue_with_complete_support,COLD_START_NO_SOLVE
2025-01-01,2,2025-01-01 00:20:00,2025-01-01 00:30:00,,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,fallback_q2_pv,0.0,weekday-load_recent-pv_buffer-1-v1.0,,,Q2_FALLBACK,,,False,no_causally_available_allowed_issue_with_complete_support,COLD_START_NO_SOLVE
2025-01-01,3,2025-01-01 00:30:00,2025-01-01 00:40:00,,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,fallback_q2_pv,0.0,weekday-load_recent-pv_buffer-1-v1.0,,,Q2_FALLBACK,,,False,no_causally_available_allowed_issue_with_complete_support,COLD_START_NO_SOLVE
2025-01-01,4,2025-01-01 00:40:00,2025-01-01 00:50:00,,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,fallback_q2_pv,0.0,weekday-load_recent-pv_buffer-1-v1.0,,,Q2_FALLBACK,,,False,no_causally_available_allowed_issue_with_complete_support,COLD_START_NO_SOLVE
2025-01-01,5,2025-01-01 00:50:00,2025-01-01 01:00:00,,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,fallback_q2_pv,0.0,weekday-load_recent-pv_buffer-1-v1.0,,,Q2_FALLBACK,,,False,no_causally_available_allowed_issue_with_complete_support,COLD_START_NO_SOLVE
2025-01-01,6,2025-01-01 01:00:00,2025-01-01 01:10:00,2025-01-01 00:00:00,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,attachment3,0.0,Q3-A3-POINT-v1.0,1,2025-01-01 01:00:00,ZOH,1,,False,,COLD_START_NO_SOLVE
2025-01-01,7,2025-01-01 01:10:00,2025-01-01 01:20:00,2025-01-01 00:00:00,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,attachment3,0.0,Q3-A3-POINT-v1.0,1,2025-01-01 01:00:00,ZOH,1,,False,,COLD_START_NO_SOLVE
2025-01-01,8,2025-01-01 01:20:00,2025-01-01 01:30:00,2025-01-01 00:00:00,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,attachment3,0.0,Q3-A3-POINT-v1.0,1,2025-01-01 01:00:00,ZOH,1,,False,,COLD_START_NO_SOLVE
2025-01-01,9,2025-01-01 01:30:00,2025-01-01 01:40:00,2025-01-01 00:00:00,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,attachment3,0.0,Q3-A3-POINT-v1.0,1,2025-01-01 01:00:00,ZOH,1,,False,,COLD_START_NO_SOLVE
2025-01-01,10,2025-01-01 01:40:00,2025-01-01 01:50:00,2025-01-01 00:00:00,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,attachment3,0.0,Q3-A3-POINT-v1.0,1,2025-01-01 01:00:00,ZOH,1,,False,,COLD_START_NO_SOLVE
2025-01-01,11,2025-01-01 01:50:00,2025-01-01 02:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,attachment3,0.0,Q3-A3-POINT-v1.0,1,2025-01-01 01:00:00,ZOH,1,,False,,COLD_START_NO_SOLVE
2025-01-01,12,2025-01-01 02:00:00,2025-01-01 02:10:00,2025-01-01 00:00:00,2025-01-01 00:00:00,initial_0000,0.0,0.0,0.0,0.0,6000.0,6000.0,0.0,attachment3,0.0,Q3-A3-POINT-v1.0,2,2025-01-01 02:00:00,ZOH,2,,False,,COLD_START_NO_SOLVE
