clock_minute,clock_label,count,mean,median,std,min,max
0,00:00,365,0.4275789041095891,0.4279,0.07128008228575397,0.2375,0.5967
10,00:10,365,0.4248183561643835,0.4278,0.0686575873810221,0.2543,0.6069
20,00:20,365,0.4245104109589041,0.4238,0.06479366109186756,0.2369,0.5905
30,00:30,365,0.42693643835616435,0.4276,0.06757329365031996,0.2643,0.6302
40,00:40,365,0.4272427397260274,0.4298,0.06631357354591379,0.2747,0.617
50,00:50,365,0.42708684931506846,0.4285,0.0646644750390729,0.2893,0.5989
60,01:00,365,0.4285232876712329,0.4338,0.06475726299065339,0.2653,0.613
70,01:10,365,0.43110657534246577,0.4362,0.06503587184758705,0.252,0.6458
80,01:20,365,0.43015561643835615,0.4359,0.06286438309607657,0.2648,0.5903
90,01:30,365,0.427938904109589,0.4332,0.060220431793446355,0.2717,0.5887
100,01:40,365,0.43124493150684934,0.4326,0.06104318015753518,0.2803,0.6039
110,01:50,365,0.4332564383561644,0.4373,0.06263224640293243,0.2695,0.6082
120,02:00,365,0.4310969863013699,0.4383,0.06121807862252237,0.2537,0.6028
130,02:10,365,0.42934438356164384,0.4352,0.06369806527040786,0.263,0.5782
140,02:20,365,0.4323580821917808,0.4391,0.06319280432367223,0.2464,0.5963
150,02:30,365,0.43668027397260273,0.4405,0.05863726775911718,0.2314,0.6131
160,02:40,365,0.43480712328767124,0.4405,0.05713581759646114,0.2588,0.5786
170,02:50,365,0.4335205479452055,0.4399,0.05888139260669137,0.2797,0.5925
180,03:00,365,0.4357235616438356,0.4429,0.05980279031147364,0.2622,0.588
190,03:10,365,0.43741835616438357,0.4439,0.05736537817076602,0.282,0.5919
200,03:20,365,0.43707972602739725,0.4417,0.058200877272678184,0.2882,0.5717
210,03:30,365,0.4356424657534247,0.4412,0.06021160013325216,0.2466,0.5719
220,03:40,365,0.43526904109589043,0.4418,0.057763673519553645,0.2902,0.5899
230,03:50,365,0.43601917808219176,0.4416,0.055868324041362896,0.3021,0.5657
240,04:00,365,0.4378254794520548,0.442,0.05934099293423219,0.2919,0.5849
