physical_interval_start_hour,physical_interval_end_hour,source_template_slot,source_official_interval_label,price_yuan_per_kwh,load_kwh_per_10min,pv_kwh_per_10min,grid_purchase_kwh_per_10min,charge_kwh_per_10min,discharge_kwh_per_10min,discharge_plot_kwh_per_10min,soc_before_kwh,soc_after_kwh
0.0,0.16666666666666666,144,0:00+1-0:10+1,0.4276,574.1209833333332,0.0,907.4543166666665,333.3333333333333,0.0,-0.0,6000.0,6300.0
0.16666666666666666,0.3333333333333333,1,0:10-0:20,0.4248,573.3077666666666,0.0,1406.6410999999998,833.3333333333333,0.0,-0.0,6300.0,7050.0
0.3333333333333333,0.5,2,0:20-0:30,0.4245,572.9965333333333,0.0,1406.3298666666665,833.3333333333333,0.0,-0.0,7050.0,7800.0
0.5,0.6666666666666666,3,0:30-0:40,0.4269,574.0505166666667,0.0,1407.38385,833.3333333333333,0.0,-0.0,7800.0,8550.0
0.6666666666666666,0.8333333333333334,4,0:40-0:50,0.4272,575.7406166666666,0.0,1409.07395,833.3333333333333,0.0,-0.0,8550.0,9300.0
0.8333333333333334,1.0,5,0:50-1:00,0.4271,576.4712166666666,0.0,1409.8045499999998,833.3333333333333,0.0,-0.0,9300.0,10050.0
1.0,1.1666666666666667,6,1:00-1:10,0.4285,576.6400166666666,0.0,576.6400166666666,0.0,0.0,-0.0,10050.0,10050.0
1.1666666666666667,1.3333333333333333,7,1:10-1:20,0.4311,577.8597,0.0,577.8597,0.0,0.0,-0.0,10050.0,10050.0
1.3333333333333333,1.5,8,1:20-1:30,0.4302,577.9938666666667,0.0,577.9938666666667,0.0,0.0,-0.0,10050.0,10050.0
1.5,1.6666666666666667,9,1:30-1:40,0.4279,577.82805,0.0,577.82805,0.0,0.0,-0.0,10050.0,10050.0
1.6666666666666667,1.8333333333333333,10,1:40-1:50,0.4312,580.41545,0.0,580.41545,0.0,0.0,-0.0,10050.0,10050.0
1.8333333333333333,2.0,11,1:50-2:00,0.4333,582.5140166666666,0.0,582.5140166666666,0.0,0.0,-0.0,10050.0,10050.0
2.0,2.1666666666666665,12,2:00-2:10,0.4311,583.0740499999999,0.0,583.0740499999999,0.0,0.0,-0.0,10050.0,10050.0
2.1666666666666665,2.3333333333333335,13,2:10-2:20,0.4293,584.2049166666666,0.0,584.2049166666666,0.0,0.0,-0.0,10050.0,10050.0
2.3333333333333335,2.5,14,2:20-2:30,0.4324,585.4397833333333,0.0,585.4397833333333,0.0,0.0,-0.0,10050.0,10050.0
2.5,2.6666666666666665,15,2:30-2:40,0.4367,586.1447499999999,0.0,586.1447499999999,0.0,0.0,-0.0,10050.0,10050.0
2.6666666666666665,2.8333333333333335,16,2:40-2:50,0.4348,586.3207666666666,0.0,586.3207666666666,0.0,0.0,-0.0,10050.0,10050.0
2.8333333333333335,3.0,17,2:50-3:00,0.4335,586.4253,0.0,586.4253,0.0,0.0,-0.0,10050.0,10050.0
3.0,3.1666666666666665,18,3:00-3:10,0.4357,586.8496,0.0,586.8496,0.0,0.0,-0.0,10050.0,10050.0
3.1666666666666665,3.3333333333333335,19,3:10-3:20,0.4374,587.8210166666667,0.0,587.8210166666667,0.0,0.0,-0.0,10050.0,10050.0
3.3333333333333335,3.5,20,3:20-3:30,0.4371,589.5475666666666,0.0,589.5475666666666,0.0,0.0,-0.0,10050.0,10050.0
3.5,3.6666666666666665,21,3:30-3:40,0.4356,590.8134666666666,0.0,590.8134666666666,0.0,0.0,-0.0,10050.0,10050.0
3.6666666666666665,3.8333333333333335,22,3:40-3:50,0.4353,590.2131166666666,0.0,590.2131166666666,0.0,0.0,-0.0,10050.0,10050.0
3.8333333333333335,4.0,23,3:50-4:00,0.436,591.0662666666666,0.0,591.0662666666666,0.0,0.0,-0.0,10050.0,10050.0
4.0,4.166666666666667,24,4:00-4:10,0.4378,593.3678333333332,0.0,593.3678333333332,0.0,0.0,-0.0,10050.0,10050.0
4.166666666666667,4.333333333333333,25,4:10-4:20,0.4401,593.6596833333333,0.0,593.6596833333333,0.0,0.0,-0.0,10050.0,10050.0
4.333333333333333,4.5,26,4:20-4:30,0.4389,592.7863833333333,0.0,592.7863833333333,0.0,0.0,-0.0,10050.0,10050.0
4.5,4.666666666666667,27,4:30-4:40,0.4364,593.3378666666666,0.0,593.3378666666666,0.0,0.0,-0.0,10050.0,10050.0
4.666666666666667,4.833333333333333,28,4:40-4:50,0.4393,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,-0.0,10050.0,10050.0
4.833333333333333,5.0,29,4:50-5:00,0.4422,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,-0.0,10050.0,10050.0
5.0,5.166666666666667,30,5:00-5:10,0.4395,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,-0.0,10050.0,10050.0
5.166666666666667,5.333333333333333,31,5:10-5:20,0.4333,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,-0.0,10050.0,10050.0
5.333333333333333,5.5,32,5:20-5:30,0.4439,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,-0.0,10050.0,10050.0
5.5,5.666666666666667,33,5:30-5:40,0.4301,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,-0.0,10050.0,10050.0
5.666666666666667,5.833333333333333,34,5:40-5:50,0.3713,581.0198333333333,30.693383333333333,1383.659783333333,833.3333333333333,0.0,-0.0,10050.0,10800.0
5.833333333333333,6.0,35,5:50-6:00,0.5708,637.3165666666666,46.17636666666667,591.1401999999999,0.0,-0.0,0.0,10800.0,10800.0
6.0,6.166666666666667,36,6:00-6:10,0.9099,733.0121166666665,64.75823333333332,0.0,0.0,668.2538833333332,-668.2538833333332,10800.0,10057.495685185186
6.166666666666667,6.333333333333333,37,6:10-6:20,0.9368,742.3353833333333,86.88005,0.0,0.0,655.4553333333333,-655.4553333333333,10057.495685185186,9329.211981481481
6.333333333333333,6.5,38,6:20-6:30,0.8758,728.6319833333333,112.12795,0.0,0.0,616.5040333333334,-616.5040333333334,9329.211981481481,8644.2075
6.5,6.666666666666667,39,6:30-6:40,0.8759,732.1588333333334,140.70434999999998,0.0,0.0,591.4544833333334,-591.4544833333334,8644.2075,7987.035851851852
6.666666666666667,6.833333333333333,40,6:40-6:50,0.8601,730.7659333333332,173.27906666666667,0.0,0.0,557.4868666666666,-557.4868666666666,7987.035851851852,7367.606000000001
6.833333333333333,7.0,41,6:50-7:00,0.8442,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,-529.2397,7367.606000000001,6779.561888888889
7.0,7.166666666666667,42,7:00-7:10,0.8334,753.90935,251.43863333333334,0.0,0.0,502.4707166666667,-502.4707166666667,6779.561888888889,6221.261092592593
7.166666666666667,7.333333333333333,43,7:10-7:20,0.8092,754.0120166666667,298.56845,0.0,0.0,455.4435666666667,-455.4435666666667,6221.261092592593,5715.212685185185
7.333333333333333,7.5,44,7:20-7:30,0.7972,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,-410.0667,5715.212685185185,5259.583018518519
7.5,7.666666666666667,45,7:30-7:40,0.7644,753.8736333333333,396.87685,0.0,0.0,356.99678333333327,-356.99678333333327,5259.583018518519,4862.919925925926
