template_date,baseline,predictor,status,termination_condition,solver_invoked,mip_gap,runtime_seconds,level_bound_hit_count
2025-02-01,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
2025-02-02,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
2025-02-03,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
2025-02-04,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
2025-02-05,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
2025-02-06,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
2025-02-07,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
2025-02-08,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
2025-02-09,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
2025-02-10,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
2025-02-11,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
2025-02-12,Q4_2_NOSTORAGE,P1_WEEKDAY_SAME_CLOCK,OPTIMAL_CLOSED_FORM,ANALYTIC,False,0.0,0.0,0
