metric,value
realized_total_cost,19505477.68676481
regular_purchase_cost,18332120.981610846
emergency_purchase_cost,1173356.70515396
grid_purchase_energy,22607282.99478999
emergency_energy,274647.24067333364
spill_energy,4942740.696363336
charge,0.0
discharge,0.0
storage_throughput,0.0
soc_min,1200.0
soc_max,1200.0
soc_boundary_hits,48430.0
days,334.0
price_sample_count,48096.0
price_MAE,0.04715118305056554
price_RMSE,0.06534801504178886
price_bias,-0.00015473843978709224
price_P90_absolute_error,0.0976
price_rank_correlation,0.9719055035323327
price_peak10_recall,0.8671517671517671
price_offpeak10_recall,0.7557077625570776
price_negative_prediction_count,0.0
price_nonfinite_prediction_count,0.0
solver_days,334
optimal_count,334
infeasible_count,0
failure_count,0
reference_only_count,0
runtime_seconds,0.0
level_bound_hit_count,0
