month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1374487.1174274299,1313865.4819678715,1263449.991200184,50415.490767687515,25207.745383843758,16110.602834020405,1304768.3394180483,69718.77800938161,16537.815276433368,171339.3621993111,2035651.004018349,1986991.029286606,622683.1871775171,504373.3816137889,1127056.568791306,63017.00406470983,14357.029332966767,872.0,1200.0,10800.0
3,1221763.86718243,1151973.091459438,1099108.8475528297,52864.24390660834,26432.12195330417,28873.356266181832,1154414.3257723157,67349.54141011453,17758.619503333415,249734.53071574596,1930448.648654185,1881198.228542134,646866.5785774826,523961.9286477611,1170828.5072252438,78437.1845740108,29186.764461959883,829.0,1200.0,10800.0
4,1017954.6880007995,932237.2405870956,904551.744146664,27685.49644043153,13842.748220215764,36750.13442887732,955144.6267957572,62810.061205042315,16503.702783888853,320808.8435944444,1635277.1965313149,1630092.1757881704,568723.3214611317,460665.8903835167,1029389.2118446484,45720.39865341791,40535.37791027363,710.0,1200.0,10800.0
5,1081351.9032970776,940707.4469073182,924522.3722094946,16185.074697823698,8092.537348911849,55489.51092801042,988104.4204864168,93247.48281066092,22681.404457222245,385019.534355,1616656.0981530088,1653162.0093628902,547438.9808690123,443425.5745039,990864.5553729123,27500.329165027368,64006.24037490856,701.0,1200.0,10800.0
6,1596399.0650979572,1443456.4556696436,1405787.2026230288,37669.25304661469,18834.626523307346,56463.95394899377,1481085.78309533,115313.2820026273,29500.765079444463,349814.39269296994,2193042.006503919,2191004.107395655,635248.9888533127,514551.6809711833,1149800.669824496,50972.82395265777,48934.92484439352,912.0,1200.0,10800.0
7,1967257.1667895578,1718307.7724696489,1680419.5018100287,37888.270659620124,18944.135329810062,62911.93465302559,1762275.5717928645,204981.59499669343,48892.9084744445,397156.5876195587,2407732.9886038667,2410491.0351510863,617937.302663011,500529.21515703894,1118466.51782005,52477.90163966764,55235.94818688736,966.0,1200.0,10800.0
8,1537959.3516592048,1436195.6968316964,1396440.7654267757,39754.93140492075,19877.465702460377,40138.04678063208,1456456.2779098682,81503.07374933678,18734.046794444534,392548.12412965,2086303.13949847,2067180.1793310577,575017.0105044856,465763.7785086333,1040780.7890131188,60344.10044370344,41221.14027629119,820.0,1200.0,10800.0
9,1262057.8085603055,1177817.083154331,1139652.1439494793,38164.939204851675,19082.469602425837,42483.87807181818,1201218.4916237234,60839.31693658211,16197.23529388893,397680.73567333334,1899088.2559965663,1884414.638380669,602880.3526380247,488333.08563680004,1091213.4382748248,61830.77760285637,47157.15998695906,805.0,1200.0,10800.0
10,1236215.7464891847,1168483.4144035468,1115070.3518739433,53413.06252960349,26706.531264801746,27875.17784422214,1169652.0609829673,66563.68550621739,17125.489477222192,297342.39331291657,1934940.1497696762,1878984.6095501692,650705.8553393414,527071.7428248667,1177777.5981642082,83164.9832381654,27209.44301865854,881.0,1200.0,10800.0
11,1432697.5924326389,1335937.2228015498,1314589.4606750237,21347.762126526184,10673.881063263092,58000.45870024098,1383263.8004385277,49433.79199411114,12815.7624233334,208413.2111305389,2089363.3830205034,2108785.453512266,659029.4605529491,533813.8630478889,1192843.323600838,30750.90991286953,50172.98040463181,1003.0,1200.0,10800.0
12,2054200.4541107835,1910385.7935351678,1879530.8244652518,30854.96906991609,15427.484534958045,53564.36669797363,1948522.6756981835,105677.77841260006,25449.644983888884,217641.1621688888,2688453.7931249314,2696329.650761413,737374.7240863855,597273.5265099723,1334648.2505963577,33968.188672762204,41844.04630924404,1018.0,1200.0,10800.0
