template_date,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2025-02-01,20994.950006647905,20911.190997557584,19923.48583697377,987.7051605838141,493.85258029190703,6.143650921330845e-12,20417.338417265684,577.6115893822227,119.13436333333317,8107.5616,48617.80134619342,46715.59654452675,22889.43530452675,18540.442596666664,41429.87790119342,1902.2048016666674,3.694822225952521e-12,24.0,1200.000000000001,10800.0
2025-02-02,66781.58512949153,66844.20884218438,65564.50650757288,1279.7023346114906,639.8511673057453,300.86203137626967,66505.2197062549,276.3654232366376,71.8415222222169,10091.873977222214,94697.44152814128,93272.80908625103,25771.04700658438,20874.548075333354,46645.59508191774,1616.4367613347172,191.80431944445627,34.0,1200.0,10800.0
2025-02-03,68226.84335144497,68701.18738870975,65452.18561979187,3249.001768917881,1624.5008844589404,2.8283125175221357e-12,67076.68650425081,1150.156847194164,221.5947800000006,7328.018238333328,95564.06495475308,91914.94284271605,24166.332549382714,19574.729365,43741.06191438271,3649.1221120370374,2.0463630789890885e-12,47.0,1200.0,10800.0
2025-02-04,71236.49986665678,71688.58241372739,69156.39421062949,2532.1882030979054,1266.0941015489527,6.04570686846273e-12,70422.48831217845,814.0115544783365,241.9157566666673,10069.316274999996,98860.23974436213,95992.18344109053,26157.470646090533,21187.551223333332,47345.021869423865,2868.056303271606,4.888534022029489e-12,40.0,1200.0,10800.0
2025-02-05,69237.19827782185,66192.43593390335,66069.11589483668,123.32003906666729,61.660019533333646,1786.5714447754137,67917.34735914544,1319.8509186764225,257.26623611111745,8386.80612777778,92357.34211844306,93567.89541271604,24683.832216049377,19993.904094999998,44677.736311049375,148.93385000000066,1359.4871442729777,24.0,1200.0,10800.0
2025-02-06,69944.25085624984,71739.42301448107,66777.47983061422,4961.943183866848,2480.971591933424,1.7689529840936302e-12,69258.45142254765,685.7994337021996,159.79330388888465,8503.501470555548,98921.5983574074,93589.84005268861,26184.598873799732,21209.525087777783,47394.12396157752,5331.758304718793,1.9895196601282805e-12,44.0,1200.0000000000005,10800.0
2025-02-07,20224.261667876966,20196.916392002448,19044.920831555402,1151.9955604470442,575.9977802235221,3.455904789007036e-12,19620.91861177893,603.343056098038,123.32703722221697,9684.899107222218,48258.872239711935,45716.96927226338,22893.24948559671,18543.532083333335,41436.78156893005,2541.90296744856,4.0131453715730455e-12,24.0,1200.000000000001,10800.0
2025-02-08,19109.122844317404,15856.082797211157,15856.082797211157,3.723812369571533e-14,1.8619061847857666e-14,1092.2344944190015,16948.31729163016,2160.8055526872454,567.943373333334,4724.350055,38281.524798909464,39883.55401890946,21842.023353909462,17692.03891666667,39534.062270576134,5.684341886080802e-14,1602.0292200000013,21.0,1200.0,10800.0
2025-02-09,66300.8447726765,64056.197006728835,63456.33810619895,599.8589005298838,299.9294502649419,810.3336856345925,64566.601242098484,1734.24353057802,364.60007722221656,6346.21659888888,90024.66969666666,89984.61581000686,23408.33204389576,18960.748955555562,42369.08099945132,627.5618866598102,587.5080000000075,36.0,1200.0000000000011,10800.0
2025-02-10,60800.70464546838,59600.06683247344,56654.17107423467,2945.895758238773,1472.9478791193865,113.01141048042231,58240.13036383448,2560.574281633898,727.2080249999999,5049.933598333333,86679.43202333333,82988.20137423354,22835.99263631687,18497.15403541667,41333.14667173354,3770.0380657664678,78.80741666667285,44.0,1200.0,10800.0
2025-02-11,61534.857390082274,60106.15169041062,56512.605857058705,3593.545833351919,1796.7729166759596,6.934715202078224e-12,58309.378773734665,3225.4786163476056,638.7072211111333,3628.2469377777998,86853.69820654321,82720.64878736009,23739.536687860076,19229.024717166667,42968.56140502675,4133.04941918313,4.803268893738277e-12,32.0,1200.0,10800.0
2025-02-12,60946.47545094207,60198.52619133985,56466.60980825043,3731.9163830894204,1865.9581915447102,1.2092982615286019e-12,58332.567999795145,2613.907451146923,541.3572772222171,3658.6139988888813,87704.58226158435,83341.23445925239,26090.743882030158,21133.502544444433,47224.246426474594,4363.347802331964,6.821210263296962e-13,46.0,1200.0,10800.0
2025-02-13,58202.79145242813,55503.671258439645,53351.13067745358,2152.540580986069,1076.2702904930345,986.9793901348511,55414.380358081464,2788.4110943466653,623.2826066666674,4972.700071666666,82423.58340915637,80271.04440948888,24169.198128888882,19577.050484399995,43746.24861328887,2891.794702250838,739.2557025833445,45.0,1200.0,10800.0
2025-02-14,19100.134907548156,15909.064034473036,15693.839018489423,215.22501598361336,107.61250799180668,634.9594233991731,16436.410949880403,2663.7239576677516,764.2805688888822,5355.3277622444375,38510.56072487654,38421.79417154321,21204.976200987654,17176.030722800006,38381.00692378766,726.2299116666713,637.463358333338,18.0,1200.0000000000016,10800.0
