issue,lead,target_H1,forecast_kw,H0_hour_start,H0_hour_mean,H1_point
2025-01-01T00:00:00,2,2025-01-01T02:00:00,0,0.0,0.0,0.0
2025-01-01T00:00:00,3,2025-01-01T03:00:00,0,0.0,0.0,0.0
2025-01-01T00:00:00,4,2025-01-01T04:00:00,0,0.0,0.0,0.0
2025-01-01T00:00:00,5,2025-01-01T05:00:00,0,0.0,0.0,0.0
2025-01-01T00:00:00,6,2025-01-01T06:00:00,0,0.0,0.005333333333333333,0.0
2025-01-01T00:00:00,7,2025-01-01T07:00:00,3.1173,0.0,1.0371833333333333,3.075
2025-01-01T00:00:00,8,2025-01-01T08:00:00,1603.3305,3.075,580.6413333333334,1592.2875
2025-01-01T00:00:00,9,2025-01-01T09:00:00,3409.0929,1592.2875,2365.582233333333,3350.9625
2025-01-01T00:00:00,10,2025-01-01T10:00:00,4871.2875,3350.9625,4001.0751833333343,4836.6375
2025-01-01T00:00:00,11,2025-01-01T11:00:00,5785.111,4836.6375,5264.1680166666665,5372.1
2025-01-01T00:00:00,12,2025-01-01T12:00:00,5737.1717,5372.1,5311.9322999999995,5331.7125
2025-01-01T00:00:00,13,2025-01-01T13:00:00,6047.3964,5331.7125,5276.146449999999,5261.8125
2025-01-01T00:00:00,14,2025-01-01T14:00:00,4687.1165,5261.8125,5029.346933333333,4478.625
2025-01-01T00:00:00,15,2025-01-01T15:00:00,3572.6529,4478.625,3960.3353,3327.3375
2025-01-01T00:00:00,16,2025-01-01T16:00:00,1629.9964,3327.3375,2613.95525,1525.8
2025-01-01T00:00:00,17,2025-01-01T17:00:00,3.1956,1525.8,845.1933666666667,2.9625
2025-01-01T00:00:00,18,2025-01-01T18:00:00,0,2.9625,1.5579999999999998,0.0
2025-01-01T00:00:00,19,2025-01-01T19:00:00,0,0.0,0.005483333333333333,0.0
2025-01-01T00:00:00,20,2025-01-01T20:00:00,0,0.0,0.0,0.0
2025-01-01T00:00:00,21,2025-01-01T21:00:00,0,0.0,0.0,0.0
2025-01-01T00:00:00,22,2025-01-01T22:00:00,0,0.0,0.0,0.0
2025-01-01T00:00:00,23,2025-01-01T23:00:00,0,0.0,0.0,0.0
2025-01-01T00:00:00,24,2025-01-02T00:00:00,0,0.0,0.0,0.0
2025-01-01T06:00:00,1,2025-01-01T07:00:00,3.0919,0.0,1.0371833333333333,3.075
2025-01-01T06:00:00,2,2025-01-01T08:00:00,1588.7839,3.075,580.6413333333334,1592.2875
2025-01-01T06:00:00,3,2025-01-01T09:00:00,3297.9893,1592.2875,2365.582233333333,3350.9625
2025-01-01T06:00:00,4,2025-01-01T10:00:00,4692.2274,3350.9625,4001.0751833333343,4836.6375
2025-01-01T06:00:00,5,2025-01-01T11:00:00,5220.3894,4836.6375,5264.1680166666665,5372.1
2025-01-01T06:00:00,6,2025-01-01T12:00:00,5078.6992,5372.1,5311.9322999999995,5331.7125
2025-01-01T06:00:00,7,2025-01-01T13:00:00,5314.2003,5331.7125,5276.146449999999,5261.8125
2025-01-01T06:00:00,8,2025-01-01T14:00:00,4833.7142,5261.8125,5029.346933333333,4478.625
2025-01-01T06:00:00,9,2025-01-01T15:00:00,3588.0375,4478.625,3960.3353,3327.3375
2025-01-01T06:00:00,10,2025-01-01T16:00:00,1660.0369,3327.3375,2613.95525,1525.8
2025-01-01T06:00:00,11,2025-01-01T17:00:00,3.0359,1525.8,845.1933666666667,2.9625
2025-01-01T06:00:00,12,2025-01-01T18:00:00,0,2.9625,1.5579999999999998,0.0
2025-01-01T06:00:00,13,2025-01-01T19:00:00,0,0.0,0.005483333333333333,0.0
2025-01-01T06:00:00,14,2025-01-01T20:00:00,0,0.0,0.0,0.0
2025-01-01T06:00:00,15,2025-01-01T21:00:00,0,0.0,0.0,0.0
2025-01-01T06:00:00,16,2025-01-01T22:00:00,0,0.0,0.0,0.0
2025-01-01T06:00:00,17,2025-01-01T23:00:00,0,0.0,0.0,0.0
2025-01-01T06:00:00,18,2025-01-02T00:00:00,0,0.0,0.0,0.0
2025-01-01T06:00:00,19,2025-01-02T01:00:00,0,0.0,0.0,0.0
2025-01-01T06:00:00,20,2025-01-02T02:00:00,0,0.0,0.0,0.0
2025-01-01T06:00:00,21,2025-01-02T03:00:00,0,0.0,0.0,0.0
2025-01-01T06:00:00,22,2025-01-02T04:00:00,0,0.0,0.0,0.0
2025-01-01T06:00:00,23,2025-01-02T05:00:00,0,0.0,0.0,0.0
2025-01-01T06:00:00,24,2025-01-02T06:00:00,0,0.0,0.005483333333333333,0.0
2025-01-01T12:00:00,1,2025-01-01T13:00:00,5330.4298,5331.7125,5276.146449999999,5261.8125
2025-01-01T12:00:00,2,2025-01-01T14:00:00,4549.2579,5261.8125,5029.346933333333,4478.625
2025-01-01T12:00:00,3,2025-01-01T15:00:00,3365.5312,4478.625,3960.3353,3327.3375
2025-01-01T12:00:00,4,2025-01-01T16:00:00,1504.2156,3327.3375,2613.95525,1525.8
2025-01-01T12:00:00,5,2025-01-01T17:00:00,2.8622,1525.8,845.1933666666667,2.9625
2025-01-01T12:00:00,6,2025-01-01T18:00:00,0,2.9625,1.5579999999999998,0.0
2025-01-01T12:00:00,7,2025-01-01T19:00:00,0,0.0,0.005483333333333333,0.0
2025-01-01T12:00:00,8,2025-01-01T20:00:00,0,0.0,0.0,0.0
2025-01-01T12:00:00,9,2025-01-01T21:00:00,0,0.0,0.0,0.0
2025-01-01T12:00:00,10,2025-01-01T22:00:00,0,0.0,0.0,0.0
2025-01-01T12:00:00,11,2025-01-01T23:00:00,0,0.0,0.0,0.0
2025-01-01T12:00:00,12,2025-01-02T00:00:00,0,0.0,0.0,0.0
2025-01-01T12:00:00,13,2025-01-02T01:00:00,0,0.0,0.0,0.0
2025-01-01T12:00:00,14,2025-01-02T02:00:00,0,0.0,0.0,0.0
2025-01-01T12:00:00,15,2025-01-02T03:00:00,0,0.0,0.0,0.0
2025-01-01T12:00:00,16,2025-01-02T04:00:00,0,0.0,0.0,0.0
2025-01-01T12:00:00,17,2025-01-02T05:00:00,0,0.0,0.0,0.0
2025-01-01T12:00:00,18,2025-01-02T06:00:00,0,0.0,0.005483333333333333,0.0
2025-01-01T12:00:00,19,2025-01-02T07:00:00,6.8708,0.0,1.0645833333333334,6.6375
2025-01-01T12:00:00,20,2025-01-02T08:00:00,1827.9739,6.6375,596.76665,1536.3375
2025-01-01T12:00:00,21,2025-01-02T09:00:00,3207.1033,1536.3375,2301.0825,3267.2625
2025-01-01T12:00:00,22,2025-01-02T10:00:00,4565.1144,3267.2625,3794.173433333333,4356.1125
2025-01-01T12:00:00,23,2025-01-02T11:00:00,6040.8,4356.1125,4788.472266666667,5277.5625
2025-01-01T12:00:00,24,2025-01-02T12:00:00,6339.1125,5277.5625,5368.019883333333,5328.3
2025-01-01T18:00:00,1,2025-01-01T19:00:00,0,0.0,0.005483333333333333,0.0
2025-01-01T18:00:00,2,2025-01-01T20:00:00,0,0.0,0.0,0.0
2025-01-01T18:00:00,3,2025-01-01T21:00:00,0,0.0,0.0,0.0
2025-01-01T18:00:00,4,2025-01-01T22:00:00,0,0.0,0.0,0.0
2025-01-01T18:00:00,5,2025-01-01T23:00:00,0,0.0,0.0,0.0
2025-01-01T18:00:00,6,2025-01-02T00:00:00,0,0.0,0.0,0.0
2025-01-01T18:00:00,7,2025-01-02T01:00:00,0,0.0,0.0,0.0
2025-01-01T18:00:00,8,2025-01-02T02:00:00,0,0.0,0.0,0.0
2025-01-01T18:00:00,9,2025-01-02T03:00:00,0,0.0,0.0,0.0
2025-01-01T18:00:00,10,2025-01-02T04:00:00,0,0.0,0.0,0.0
2025-01-01T18:00:00,11,2025-01-02T05:00:00,0,0.0,0.0,0.0
2025-01-01T18:00:00,12,2025-01-02T06:00:00,0,0.0,0.005483333333333333,0.0
2025-01-01T18:00:00,13,2025-01-02T07:00:00,5.5153,0.0,1.0645833333333334,6.6375
2025-01-01T18:00:00,14,2025-01-02T08:00:00,1227.5446,6.6375,596.76665,1536.3375
2025-01-01T18:00:00,15,2025-01-02T09:00:00,2350.4812,1536.3375,2301.0825,3267.2625
2025-01-01T18:00:00,16,2025-01-02T10:00:00,3845.2786,3267.2625,3794.173433333333,4356.1125
2025-01-01T18:00:00,17,2025-01-02T11:00:00,4815.3247,4356.1125,4788.472266666667,5277.5625
2025-01-01T18:00:00,18,2025-01-02T12:00:00,4086.8116,5277.5625,5368.019883333333,5328.3
2025-01-01T18:00:00,19,2025-01-02T13:00:00,4228.7374,5328.3,5261.630450000001,5393.2875
2025-01-01T18:00:00,20,2025-01-02T14:00:00,3799.2978,5393.2875,5191.066533333334,4791.45
2025-01-01T18:00:00,21,2025-01-02T15:00:00,2472.4285,4791.45,4052.795183333333,3140.175
2025-01-01T18:00:00,22,2025-01-02T16:00:00,1182.0118,3140.175,2503.382383333333,1662.6
2025-01-01T18:00:00,23,2025-01-02T17:00:00,5.091,1662.6,911.0599333333334,6.675
2025-01-01T18:00:00,24,2025-01-02T18:00:00,0,6.675,2.313733333333333,0.0
